	1639	1423	1280	1613	28901	1680	1351	139	2702	287	562	813	432308	2022747	70584
91636643-74c6-4d5e-bc0c-6e27e86f0b15	1.0														
20b58f07-a6ff-4bc7-a333-7fb8b73ab5ae	1.0														
902d3290-b5fe-41cd-af1b-c48d944b5464	1.0														
e4296e24-9858-4c92-a936-364c3a23f027	1.0														
520431e1-a523-4233-996b-447f297aad78	1.0														
831e5610-b475-4de5-a4e3-a8859fb98ecb	1.0														
5f1dc8e6-9c23-471f-acc8-05deababb0ae	1.0														
1001b6a3-95d0-4702-b4ad-3afd46f0812d	1.0														
21c97672-f7dc-46dc-a313-4f4732754e1a	1.0														
bc9ca93e-47ff-41e1-88bd-42be4df74162	1.0														
3fab303d-7789-466b-bafa-de1d3646a774	1.0														
6c5dfcc2-39b3-4ed5-a3fb-7c819c1b774e	1.0														
193cf7ef-2df9-492a-9dab-8c263e7fd5b0	1.0														
988036c6-aae6-45bd-a387-1d797393fe7b	1.0														
1e256a69-d81d-42f8-b988-c84c75abe1de	1.0														
87bb0c36-1eb3-4332-b2a8-ae9718c28661	1.0														
748f73a6-d393-44ff-af87-a1e6e088405a	1.0														
17d078d7-07a2-4840-a3b3-d1cc79c4de7d	1.0														
9047b8af-0441-4d7f-ab4b-1637a479e680	1.0														
b7ff5899-4b10-4108-98b5-596538671890	1.0														
9d8d9469-d997-490f-974b-18fc9a8460cd	1.0														
7c412dba-b55f-421f-aa6c-54f4044530b7	1.0														
7ef474ef-6f06-480e-87ff-67d20c80bae3	1.0														
a93f877a-8b2c-4115-85b4-a4e1ea8b7304	1.0														
1441fa08-1d86-42d5-b8d6-ad6186778d9f	1.0														
5a4fec83-0e11-43d6-87a8-356ab57f0373	1.0														
2b3a51c5-e6a4-4b31-976b-70ad611aadb2	1.0														
cd579114-efe5-473e-ac0c-3fb5ab103d05	1.0														
2f945679-8b77-4bdd-a99c-91c195839a29	1.0														
eda77569-fa36-47d7-908d-fc20ed2c276a	1.0														
7dc00052-3532-4bfd-abd5-61fc35f740a8	4.092232328558322e-91						1.0								
5066561f-e864-4369-bb79-c0066963ee3f	1.0														
49e034a2-f4e5-4fc9-9494-aa631f39480d	1.0														
8b7fedd1-6b36-4d8c-af3c-d920cd1bfd7e	1.0														
0b5c639f-0136-434d-8c50-e0293f2fd16d	1.0														
59b42e0f-ae18-471f-8b90-7a2b5904abb6	1.0														
08893514-c6d2-4b96-9aeb-c28220595e2e	1.0														
ffd41026-3806-4b99-abf0-21e177345970	1.0														
0e58b422-4bb3-4874-9027-5b46afb57e61	1.0														
fe19997b-8b89-4f5f-913b-883a8865b0aa	1.0														
b6aec70e-0aed-4720-b347-d026d1fada43	1.0														
44d98cec-93b2-4e70-af79-0851f4dc9281	1.0														
32432e59-5f15-4e58-b794-aa3f6cf03768		1.0													
ebaa0069-549b-49f4-bd7e-d3b821244977		1.0													
f01c703c-009d-40f6-ac3e-27c49ccd82ac		1.0													
12abc646-fa51-4f89-9056-cbcd1e52d64a		1.0													
e362252d-9b6e-406f-878a-4bbcdd59b982		1.0													
829b1fb4-b581-469e-aa32-b301a943ab46		1.0													
adff0422-a366-4c00-9668-c7cbd04beece		1.0													
32a9ac8c-210a-41c1-91c1-c4c8429ae1d2		1.0													
c75f8528-1484-4ac7-ab03-ab2745ee15b1		1.0													
7def3b35-1ac0-4991-b2d7-fc7f3e5f42ff		1.0													
9664cb32-0729-4690-976e-eb3bbf44730a		1.0													
fb7cae8a-004c-438a-90d1-f7b4f75cb08b		1.0													
4d6185db-ec54-4c48-b672-2d4a4c2424a9		1.0													
78f1ac7f-126b-4660-8885-2d5b35046dc2		1.0													
97eff8b0-fa23-4bf4-af6c-1f203aab4ce9		1.0													
8a8470ab-35da-47bc-87f3-2fe09cc29b59		1.0													
eb9768d9-3d43-416b-ab57-2d31037e4dd9		1.0													
200d459e-d3de-425d-b1f4-36d2440442b9		1.0													
de50437b-d161-433f-9b4b-d58e27e14958		1.0													
49aa0375-5b07-487c-b796-fcfe0407aefc		1.0													
c9d46291-cebf-40f0-afa5-bdd003f4fe28		1.0													
2f22d660-d95f-4f7e-bd25-530a19648ec5		1.0													
7838699c-c89a-4d88-9a81-0ceb21ca536e		1.0													
f793d5a9-8fb4-44df-8662-862d7a458d13		1.0													
477e226f-84df-499f-ab22-81e07b615432		1.0													
d17fa999-f14f-4e50-9812-801090428c43		1.0													
46b4877a-6af7-425a-9992-76d3681286f1		1.0													
cf2b224e-6ba8-4838-a43e-a10cafa9ec82		1.0													
7f554ba8-7861-486a-817b-ae00092802d1		1.0													
3d9decd2-be75-46d6-b235-40a7a7dddcb9		1.0													
92a8d60a-44fd-4b56-83d8-65c9b975bd37		1.0													
2f6a15d5-06d0-45a8-aa1f-1dd37600f909		1.0													
15889eab-2a4e-4d87-89d8-7caa1af7d56d		1.0													
e225f53c-9801-4ad3-b475-e275f43b8923		1.0													
03df03ae-5523-46eb-a24a-3b1c6ab62aa0		1.0													
ea4bee50-48c9-4716-9d58-2f8265e10baf		1.0													
81e562ef-5bd0-463e-8b8f-6a3be8515d8f		1.0													
49c0c96b-f5e3-4ded-8d8d-cda116416908		1.0													
4fefb7d8-357a-4efd-ac83-fa25e5b6aedc		1.0													
91280435-468d-4107-928d-bf949921b9b8		1.0													
3910186b-5081-4380-91cd-4ce0c9ffe7d3		1.0													
52439457-eeb6-4a4a-abfb-801390697d7a		1.0													
fdadb2d5-749c-469b-b673-1fabd0be0a3c		1.0													
ee0a16c4-c22b-49b8-b656-4678b39d8f24		1.0													
1e79cebd-0719-415b-95c1-8e41f4efa82e		1.0													
3723ecb5-57a0-481e-8ee2-e04b8d5f493f		1.0													
2ca7768e-e0b6-4cca-a2a8-5ed63c0fb14e		1.0													
35e84188-defa-488d-9712-a596a4aac8bd		1.0													
5c05446b-b378-4704-9375-7e8a0b37a6b4		1.0													
81793eb8-0ca8-4350-a447-69468e79e6de		1.0													
98db315d-5674-49f3-8ba5-8e769aed0796		1.0													
aac75095-5abe-4048-b913-057df239e7c8		1.0													
ccaa8584-4b6f-4a94-895f-c2412c62409b		1.0													
8630131a-5ec3-4c52-97e0-215cfd8d1cdf		1.0													
851e5365-173c-4c5b-b839-b680f54421f4		1.0													
3e3b9802-3b20-4495-b331-5c7016266433		1.0													
455a7292-96d4-4409-bfd4-96189b4f76e8		1.0													
f5af6e12-db87-4a61-81c2-9b6607168d81		1.0													
b4f211b4-4a9d-4865-8dfb-be010b9becee		1.0													
9234da6a-14ae-407a-8e07-2d29b6afe2d6		1.0													
d320501b-67fe-4a2c-93bf-0f2f236053e9		1.0													
531fa79c-974e-4e24-be17-17e64996ec50		1.0													
3ed7ae12-cf54-4431-9936-f0fc5901c822		1.0													
c09eaab4-fd1f-4fa8-bc42-1e5d0feadc5d		1.0													
b07a4517-2031-45d8-a0f4-a1dc69971b8f		1.0													
7791f384-dc93-42e7-bd69-691a5f67ff54		1.0													
2d9e423b-983e-40a8-969e-f3b96ee96cbd		1.0													
d310f034-098f-49b6-b0bd-5293bd2ea432		1.0													
0fa1a023-5e13-445e-8793-3fc0104ab224		1.0													
8963b4b4-209e-4043-b9f8-4a4ab3019884		1.0													
bf77b4cc-5321-4a49-9216-cda8f01a0d1f		1.0													
8205dd66-41ed-457a-b7dd-349905fa5dfd		1.0													
6476e47a-ad2c-4c64-832d-fac846d4f13d		1.0													
584b4cea-597b-496d-aad1-0493c1e5c8bb		1.0													
b5492054-558a-4702-9cfa-494fb9baef84		1.0													
fbf46ab5-bef5-4307-9b46-610a5a4a0f39		7.018916551392099e-39	1.0												
d880f42d-e014-485d-bd09-18575f980c12		1.0													
80f3b692-0d8d-49df-97a5-07d8170bf20b		1.0													
2f909f41-44f5-45b4-8190-72341e331d45		1.0													
eb668e73-dac6-473d-a47b-5904c607ce5c		1.0													
099a18ab-d504-4cdd-9afe-184bdb33f11f		1.0													
ace9aefc-ff28-48cb-ad6e-1c53f23adc50		1.0													
a587ee99-2154-4bda-b4d8-dbc2d2451a2c		1.0													
96cd2581-cdd7-45d5-ac55-d74766970707		1.0													
ebc691f2-3f67-42b3-bc4f-9aa1147ad917		1.0													
f755709a-b824-46a0-8572-4a80d6465be8		1.0													
c637b9e1-1b8b-4449-b86a-d84dd184ddbf		1.0													
44aee37c-bff8-486f-a0b3-e6d2e9f078d5		1.0													
58677702-29cd-4be1-902a-76d98fc66c88		1.0													
36b2d431-850c-4e39-b51b-e621146fa9d9		1.0													
e75413d3-8537-4b5a-970a-2f978c07e90c		1.0													
86f173e8-2abe-4bb2-885a-7dcc74c8c304		1.0													
ed0cb730-f550-4d67-8e7c-220bccdcaf3e		1.0													
a286b144-bd57-482e-a2a6-039cccbb00a8		1.0													
c54a6ddf-c915-476f-9c39-9bd27fba67de		1.0													
d8b159e1-a1b8-4818-b4b3-149188ca11dd		1.0													
e18e9c8b-5dbd-4730-8772-435b80775002		1.0													
b0e4556b-d971-4720-998b-c0a707e2ab05		1.0													
12c3d6d9-eec5-40ba-b617-6049eac0102b		1.0													
5a936d9f-8241-4d5a-ae95-532dfea86710		1.0													
857db9da-bc75-42cb-8544-16a649514d63		1.0													
746d7d90-c489-46ea-9039-20bfb01747ee		1.0													
0dc71454-5d33-4077-9d10-d3e5f7bf2d42		1.0													
4e3cd226-6e76-4405-9873-b8c27fe30cbf		1.0													
399ccfee-7df2-427d-9039-5bcd0c6f87bd		1.0													
cca6a017-8702-46fb-a3ae-98968afe2cb1		1.0													
18f468a2-1340-4fe6-bb6d-894285dbdde6		1.0													
87c9b65a-e778-4ab7-bedf-5668ae8f7c47		1.0													
b236eed4-6912-4492-b6c5-d9fdd8975aff		1.0													
0c973d12-9352-41e5-a248-c33a09e86159		1.0													
445e63e4-1416-412e-8007-bf8923878c55		1.0													
84c8bf3c-76a2-4c14-b721-da908206234c		1.0													
507e799e-876a-4bad-a296-bc50ad3663a0		1.0													
bacfad7a-876a-4ea6-a415-1bb1b7515105		1.0													
35426752-866a-427c-a8ce-fb9aca375713		1.0													
b1d046b1-f24d-43e7-97c8-6dea8830fd2d		1.0													
5677831b-e33a-443b-93a9-729269c1943f		1.0													
27fcb23c-98ce-4f88-a770-2d3047e43a41		1.0													
0f64a8f7-9ad3-4b00-b062-c53f915b7915		1.0													
d9351f2c-d75c-493f-b23b-e5616ca4c4eb		1.0													
3cd86a2f-d8f3-46a6-9680-2228f3e7087b		1.0													
e6bc86e5-8b10-4639-8bab-f9ce9de7b6d5		1.0													
a88c7b69-a494-41ec-8ed6-62dfac66d144		1.0													
5218f64a-a7af-4f44-bbfe-f33dd9980625		1.0													
8eac95d1-0384-4a58-ac94-48d684ad977d		1.0													
264ac2b0-0b6a-4f2b-aef1-bd2e44693c30		1.0													
6904ee95-df0c-48c4-a161-5eb19cc18dac		1.0													
3b8e0947-8b3b-4e7f-97cf-acd5a6ace4a3		1.0													
cf71d082-dba2-422b-91a7-9b67fde5c19a		1.0													
beeed807-b654-4b17-b597-104ef6bd330d		1.0													
5e7fdf4b-76d1-431b-a7c2-2d40050c1262		1.0													
c06bd136-6d2a-40ef-9217-e2b826187864		1.0													
b8a18751-c977-4f83-aff3-f4eab6d4654c		1.0													
191ca68f-d0e0-4e69-b3ee-b4436e555fbd		1.0													
a5d13ed3-96ed-4580-b5ac-d0ffe40d6852		1.0													
928e75d4-7c62-4f73-b4b4-1780c32e98f3		1.0													
b772fda1-dd22-45b7-8891-d70b94be751f		1.0													
c1521146-de2e-4545-b47f-46ac241cbd88		1.0													
b92b0726-1218-4586-b7ec-35a2e9e84e05		1.0													
0874cec5-82ef-4c70-9a47-2c5048e9bf57		1.0													
b3da1c31-87a9-49a5-97a4-c2cbed036c7e		1.0													
6a2deab3-b7ef-4c9e-a3bf-b75ec6ee52bf		1.0													
ecf71bd3-4ed9-40b5-9ec1-6c7ec759c301		1.0													
b3a8fbe8-f8de-4b98-8d74-58d0888bf3b7		1.0													
5ae123cd-5f64-46b5-ad0d-5530b0f19e4b		1.0													
96bbe734-2da3-4dce-8080-989ced5f506f		1.0													
7d215b49-b4b5-45ab-af4b-534e8f55af13		1.0													
1b83ffd1-11e3-4542-bb16-c32e293c5500		1.0													
d2c315ec-59aa-40ce-9b43-d7f5b4d46e57		1.0													
4116a2d1-ae29-458a-aa4d-c16de1a06928		1.0													
48bb855c-b5aa-4410-987d-0f78bb9966dd		1.0													
54e643a7-8a88-460f-aca6-a20741ca2435		1.0													
afd1552f-ed3d-4574-b224-d5a3eff44372		1.0													
32fddfe3-0b61-4931-a9a3-60c8b2e533c7		1.0													
2990f88d-9cf7-49e7-84d8-2711905d2b58		1.0													
e7c865f7-0e96-4a1e-b5fd-6c3b326cedc0		1.0													
fb32e33f-0456-42c8-ae8c-f602ff82afc6		1.0													
0e6c5c2e-3d23-4479-8afb-97335836bb7c		1.0													
83c5bd60-65cb-4b89-b081-72875e831822		1.0													
07491969-8c12-4a42-b898-4ff982557d6b		1.0													
c0c3ea48-f850-4f1f-bade-89684a846b1a		1.0													
51afd270-f757-4d3d-b9a9-4fbef3da549c		1.0													
e37d1681-d06c-43a6-bf89-f3adf4dc03b9		1.0													
7a3a4d5d-5136-48b8-b3bc-24a5966f0e78		1.0													
9fb3e08a-e015-41a9-bad9-ec4f55099ecc		1.0													
b982000f-6da5-4018-ac21-5a71c845e9e0		1.0													
3caa4c55-c97b-4e41-9c1b-503fc283592c		1.0													
bb9187c8-5050-440d-b4f9-7d03dfb90e1e		1.0													
87de0607-7da7-4e7a-a8b5-a9b2238de3e1		1.0													
e25f995b-894d-418d-a690-7c3c31dc6d61		1.0													
1a79a5f7-9d8c-4e7b-a794-e22f05ab7265		1.0													
bd1bc081-6af4-4413-bcce-7c0ad4f1a35d		1.0													
ef18dfb6-567e-4753-8bd9-964a6da66437			1.0												
3c063d7f-1f02-4734-ad7e-0871dd4b4a59			1.0												
51289d8d-2e3f-4927-a548-26feb06697c6			1.0												
f3c4e754-4807-49fb-a0a0-bc5a15ad710c			1.0												
8240bd5c-7aa6-4119-9470-6dcae72969c5			1.0												
fd776a06-42b3-41c5-80a2-224d369ff1a2			1.0												
45a5a49c-8c96-4aeb-a55c-9359043fd8b4			1.0												
cefd2d41-4569-49eb-adcd-7a89033322b5			1.0												
5e0e95d1-620e-4486-bafe-5981ece481db			1.0												
86166060-d56c-4e29-a5ff-1f8f54bc86ac			1.0												
d27ffd8f-812d-4bea-88c8-c4294a40e614			1.0												
51b1a681-375e-4ada-bea7-27fe783525c9			1.0												
59e63a06-70ec-45e1-9cab-0a37b3eb3199			1.0												
c89d91c8-d85f-48ef-b2d6-3488dcc03e01			1.0												
f6ac5a21-45e3-41b4-b6dc-3193e69911ce			1.0												
d8550245-9d32-418e-913b-0562b4781971			1.0												
dafd9246-a46a-4836-8d33-b3c2fe0c6dfc			1.0												
b4cf654b-d98b-4a3e-afd3-9dccce127f2b			1.0												
28c2a82b-0b20-4480-9d9d-f97cb464db79			1.0												
4ee36748-7ad7-4760-ba6e-eb6d4994e99f			1.0												
a4c10be9-29cd-4649-a18e-03fd0e0a5609			1.0												
aebbf350-3255-4b5a-b6bd-6ebc4afc029f			1.0												
4e25387d-603f-4442-a831-1f730db569fc			1.0												
9a110f02-f792-4a99-95de-8c4ff4b50bf9			1.0												
fde74d4c-d196-449f-bda9-cac1aa0fb888			1.0												
